date,eng_name
9/21/2020,Gedaliah Fast
9/27/2020,Yom Kippur Eve
9/28/2020,Yom Kippur
10/2/2020,Sukkot Eve
10/3/2020,Sukkot (Day 1)
10/4/2020,Sukkot (Day 2)
10/5/2020,Sukkot (Day 3)
10/6/2020,Sukkot (Day 4)
10/7/2020,Sukkot (Day 5)
10/8/2020,Sukkot (Day 6)
10/9/2020,Sukkot (Day 7) / Hoshanah Rabah
10/10/2020,Shemini Atzeret / Simchat Torah
12/11/2020,Hanukkah (Day 1)
12/12/2020,Hanukkah (Day 2)
12/13/2020,Hanukkah (Day 3)
12/14/2020,Hanukkah (Day 4)
12/15/2020,Hanukkah (Day 5)
12/16/2020,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/17/2020,Hanukkah (Day 7)
12/18/2020,Hanukkah (Day 8)
12/25/2020,Asarah B'Tevet (Tenth of Tevet)
1/27/2021,Holocaust Remembrance Day
1/28/2021,Tu Bishvat
2/25/2021,Fast of Esther
2/26/2021,Purim
2/28/2021,Shushan Purim (Jerusalem)
3/23/2021,Election Day
3/27/2021,Passover Eve
3/28/2021,Passover (Day 1)
3/29/2021,Passover (Day 2)
3/30/2021,Passover (Day 3)
3/31/2021,Passover (Day 4)
4/1/2021,Passover (Day 5)
4/2/2021,Passover (Day 6)
4/3/2021,Passover (Day 7)
4/8/2021,Yom HaShoah
4/14/2021,Yom HaZikaron
4/15/2021,Yom HaAtzmaut
4/30/2021,Lag BaOmer
5/10/2021,Jerusalem Day
5/16/2021,Shavuot Eve
5/17/2021,Shavuot
6/27/2021,17th of Tammuz
7/17/2021,Tisha B'Av Eve
7/18/2021,Tisha B'Av
9/6/2021,Rosh Hashana Eve
9/7/2021,Rosh Hashana
9/8/2021,Rosh Hashana (Day 2)
9/9/2021,Gedaliah Fast
9/15/2021,Yom Kippur Eve
9/16/2021,Yom Kippur
9/20/2021,Sukkot Eve
9/21/2021,Sukkot (Day 1)
9/22/2021,Sukkot (Day 2)
9/23/2021,Sukkot (Day 3)
9/24/2021,Sukkot (Day 4)
9/25/2021,Sukkot (Day 5)
9/26/2021,Sukkot (Day 6)
9/27/2021,Sukkot (Day 7) / Hoshanah Rabah
9/28/2021,Shemini Atzeret / Simchat Torah
11/29/2021,Hanukkah (Day 1)
11/30/2021,Hanukkah (Day 2)
12/1/2021,Hanukkah (Day 3)
12/2/2021,Hanukkah (Day 4)
12/3/2021,Hanukkah (Day 5)
12/4/2021,Hanukkah (Day 6) / Rosh Chodesh Tevet
12/5/2021,Hanukkah (Day 7)
12/6/2021,Hanukkah (Day 8)
12/14/2021,Asarah B'Tevet (Tenth of Tevet)
1/17/2022,Tu Bishvat
1/27/2022,Holocaust Remembrance Day
3/16/2022,Fast of Esther
3/17/2022,Purim
3/18/2022,Shushan Purim (Jerusalem)
4/15/2022,Passover Eve
